HR,Name,Hours RA,Minutes RA,Seconds RA,Degrees Dec,Minutes Dec,Seconds Dec,VisualMag,B-V
4644,,12,12,22.0,-62,57,03,5.92,+0.29
4646,,12,12,11.9,+77,36,59,5.14,+0.33
4648,,12,13,25.3,-38,55,45,5.76,-0.13
4650,12    Vir,12,13,25.9,+10,15,44,5.85,+0.27
4652,,12,14,02.6,-45,43,26,5.31,+1.43
4655,,12,14,59.6,-20,50,39,5.83,+1.05
4656,Del Cru,12,15,08.7,-58,44,56,2.80,-0.23
4659,,12,15,08.5,+70,12,00,5.71,+1.19
4660,69Del UMa,12,15,25.6,+57,01,57,3.31,+0.08
4662,4Gam Crv,12,15,48.4,-17,32,31,2.59,-0.11
4663,6    Com,12,16,00.2,+14,53,56,5.10,+0.06
4666,2    CVn,12,16,07.6,+40,39,37,5.66,+1.55
4667,7    Com,12,16,20.5,+23,56,43,4.95,+0.97
4668,,12,16,30.1,+33,03,41,5.00,+1.14
4671,Eps Mus,12,17,34.1,-67,57,39,4.11,+1.58
4672,,12,17,29.5,+53,11,28,5.81,+1.30
4673,,12,17,30.5,+28,56,14,5.70,+0.16
4674,Bet Cha,12,18,20.7,-79,18,44,4.26,-0.12
4679,Zet Cru,12,18,26.1,-64,00,11,4.04,-0.17
4681,13    Vir,12,18,40.3,-00,47,14,5.90,+0.17
4682,,12,18,59.7,-55,08,35,5.00,+1.59
4687,,12,18,49.9,+75,09,38,5.38,-0.02
4689,15Eta Vir,12,19,54.4,-00,40,01,3.89,+0.02
4690,3    CVn,12,19,48.7,+48,59,03,5.29,+1.66
4691,,12,20,10.7,-22,10,32,5.97,+0.82
4693,,12,20,19.7,+26,37,10,5.54,+1.09
4695,16    Vir,12,20,21.0,+03,18,45,4.96,+1.16
4696,5Zet Crv,12,20,33.7,-22,12,57,5.21,-0.10
4697,11    Com,12,20,43.0,+17,47,34,4.74,+1.01
4699,,12,20,55.7,-13,33,56,5.14,+1.05
4700,Eps Cru,12,21,21.6,-60,24,04,3.59,+1.42
4701,70    UMa,12,20,50.8,+57,51,50,5.55,+1.43
4702,,12,21,57.5,-56,22,29,5.92,+1.57
4703,Zet2Mus,12,22,07.3,-67,31,19,5.15,+0.19
4704,Zet1Mus,12,22,11.9,-68,18,27,5.74,+1.04
4706,,12,22,49.3,-57,40,34,5.39,-0.10
4707,12    Com,12,22,30.3,+25,50,46,4.81,+0.49
4711,6    Crv,12,23,21.6,-24,50,26,5.68,+1.16
4712,,12,23,35.4,-35,24,46,5.32,-0.08
4714,,12,23,44.9,-38,54,40,5.79,-0.08
4716,5    CVn,12,24,01.5,+51,33,44,4.80,+0.87
4717,13    Com,12,24,18.5,+26,05,55,5.18,+0.08
4722,,12,25,11.7,-11,36,37,5.95,+0.03
4724,,12,25,21.8,-35,11,11,5.73,-0.06
4726,71    UMa,12,25,03.2,+56,46,39,5.81,+1.62
4728,6    CVn,12,25,50.9,+39,01,07,5.02,+0.96
4729,,12,26,30.9,-63,07,21,4.86,-0.12
4730,Alp1Cru,12,26,35.9,-63,05,57,1.33,-0.24
4731,Alp2Cru,12,26,36.5,-63,05,58,1.73,-0.26
4732,,12,26,31.6,-51,27,03,4.82,-0.14
4733,14    Com,12,26,24.1,+27,16,06,4.95,+0.27
4735,,12,26,51.7,-32,49,48,5.55,+0.01
4737,15Gam Com,12,26,56.3,+28,16,06,4.36,+1.13
4738,16    Com,12,26,59.3,+26,49,32,5.00,+0.08
4739,,12,27,28.7,-58,59,31,5.50,+1.45
4743,Sig Cen,12,28,02.4,-50,13,50,3.91,-0.19
4745,73    UMa,12,27,35.1,+55,42,46,5.70,+1.55
4748,,12,28,22.5,-39,02,29,5.44,-0.08
4752,17    Com,12,28,54.7,+25,54,46,5.29,-0.05
4753,18    Com,12,29,26.9,+24,06,32,5.48,+0.43
4754,,12,29,53.9,-56,31,29,5.80,+1.56
4756,20    Com,12,29,43.2,+20,53,46,5.69,+0.07
4757,7Del Crv,12,29,51.9,-16,30,56,2.95,-0.05
4759,,12,30,17.5,-23,41,48,5.63,+1.67
4760,74    UMa,12,29,57.3,+58,24,21,5.35,+0.20
4763,Gam Cru,12,31,09.9,-57,06,48,1.63,+1.59
4765,4    Dra,12,30,06.7,+69,12,04,4.95,+1.62
4766,21    Com,12,31,00.6,+24,34,02,5.46,+0.05
4768,,12,31,40.3,-59,25,26,5.48,+0.63
4769,,12,32,10.0,-73,00,06,5.88,+1.11
4771,,12,31,55.8,-63,30,22,5.95,+0.27
4773,Gam Mus,12,32,28.0,-72,07,59,3.87,-0.15
4775,8Eta Crv,12,32,04.2,-16,11,46,4.31,+0.38
4776,,12,32,36.0,-13,51,33,5.74,+0.40
4779,,12,33,34.3,-12,49,49,5.58,+0.86
4781,21    Vir,12,33,46.8,-09,27,07,5.48,-0.03
4783,,12,33,38.9,+33,14,51,5.42,+1.00
4785,8Bet CVn,12,33,44.5,+41,21,27,4.26,+0.59
4786,9Bet Crv,12,34,23.2,-23,23,48,2.65,+0.89
4787,5Kap Dra,12,33,29.0,+69,47,18,3.87,-0.13
4788,,12,34,42.3,-44,40,24,5.77,+0.70
4789,23    Com,12,34,51.1,+22,37,45,4.81,0.00
4792,24    Com,12,35,07.8,+18,22,37,5.02,+1.15
4793,,12,35,08.1,+21,52,53,5.85,+1.22
4794,,12,35,45.5,-41,01,19,5.13,+0.22
4795,6    Dra,12,34,44.0,+70,01,19,4.94,+1.31
4796,,12,36,01.2,-39,52,12,5.80,+0.01
4798,Alp Mus,12,37,11.0,-69,08,08,2.69,-0.20
4799,25    Vir,12,36,47.4,-05,49,55,5.87,+0.07
4800,,12,36,23.3,+59,29,13,5.5,
4801,25    Com,12,36,58.3,+17,05,22,5.68,+1.41
4802,Tau Cen,12,37,42.2,-48,32,28,3.86,+0.05
4803,,12,37,42.2,-27,08,20,5.45,+0.32
4807,,12,38,22.4,+01,51,17,5.71,+1.60
4810,,12,39,03.5,-30,25,20,5.89,+1.21
4813,26Chi Vir,12,39,14.8,-07,59,44,4.66,+1.23
4815,26    Com,12,39,07.3,+21,03,45,5.46,+0.96
4817,,12,39,52.5,-39,59,15,4.64,-0.08
4818,,12,41,23.0,-46,08,44,5.84,+1.52
4819,Gam Cen,12,41,31.0,-48,57,35,2.17,-0.01
4822,,12,41,16.2,-13,00,54,5.98,+0.42
4823,,12,41,56.6,-59,41,09,4.93,-0.04
4825,29Gam Vir,12,41,39.6,-01,26,58,3.65,+0.36
4826,29Gam Vir,12,41,39.6,-01,26,58,3.68,
4828,30Rho Vir,12,41,53.1,+10,14,08,4.88,+0.09
4829,31    Vir,12,41,57.1,+06,48,24,5.59,0.00
4830,,12,42,50.3,-63,03,31,5.31,+0.27
4831,,12,42,35.4,-48,48,47,4.66,+1.09
4837,,12,43,38.1,-01,34,37,5.93,+0.86
4839,,12,44,00.5,-28,19,26,5.48,+1.34
4842,Iot Cru,12,45,37.9,-60,58,52,4.69,+1.05
4844,Bet Mus,12,46,16.9,-68,06,29,3.05,-0.18
4845,10    CVn,12,44,59.5,+39,16,44,5.95,+0.55
4846,,12,45,07.8,+45,26,25,4.99,+2.54
4847,32    Vir,12,45,37.1,+07,40,24,5.22,+0.33
4848,,12,46,22.7,-56,29,20,4.65,-0.16
4849,33    Vir,12,46,22.5,+09,32,24,5.67,+0.99
4850,,12,46,46.0,-33,18,56,5.86,+1.34
4851,27    Com,12,46,38.7,+16,34,39,5.12,+1.35
4853,Bet Cru,12,47,43.2,-59,41,19,1.25,-0.23
4859,,12,47,18.9,+62,46,51,5.89,
4860,,12,48,26.4,-27,35,51,5.66,+0.95
4862,,12,49,44.9,-71,59,11,5.55,+1.17
4863,7    Dra,12,47,34.4,+66,47,25,5.43,+1.56
4865,29    Com,12,48,54.2,+14,07,21,5.70,+0.02
4867,,12,48,39.4,+60,19,12,5.85,+0.46
4869,30    Com,12,49,17.4,+27,33,08,5.78,+0.03
4870,Iot Oct,12,54,58.6,-85,07,24,5.46,+1.02
4872,,12,50,57.9,-52,47,15,5.73,+0.13
4874,,12,50,41.2,-33,59,58,4.91,-0.04
4875,,12,50,10.7,+37,31,01,5.89,+0.15
4876,,12,51,17.8,-60,19,47,5.72,+0.38
4879,,12,51,56.8,-39,40,51,5.98,-0.10
4883,31    Com,12,51,41.9,+27,32,26,4.94,+0.67
4885,,12,53,03.9,-54,57,09,5.93,+1.31
4887,,12,53,21.8,-60,19,43,5.76,+0.33
4888,,12,53,06.9,-48,56,36,4.33,+1.37
4889,,12,53,26.2,-40,10,44,4.27,+0.21
4890,Kap Cru,12,53,49.1,-60,22,37,5.90,+0.20
4892,,12,49,06.6,+83,25,05,5.85,-0.06
4893,,12,49,13.6,+83,24,46,5.28,-0.03
4894,35    Com,12,53,17.8,+21,14,42,4.90,+0.90
4897,Lam Cru,12,54,39.2,-59,08,48,4.62,-0.15
4898,Mu 1Cru,12,54,35.6,-57,10,40,4.03,-0.17
4899,Mu 2Cru,12,54,36.8,-57,10,06,5.17,-0.12
4902,40Psi Vir,12,54,21.2,-09,32,20,4.79,+1.60
4903,,12,54,58.5,-44,09,07,5.89,+0.64
4905,77Eps UMa,12,54,01.7,+55,57,35,1.77,-0.02
4906,,12,55,19.4,-42,54,57,5.47,+1.68
4907,,12,56,31.5,-72,11,07,5.93,+1.13
4908,,12,55,57.0,-56,50,10,5.32,+0.01
4909,,12,54,56.5,+47,11,48,5.84,+1.55
4910,43Del Vir,12,55,36.2,+03,23,51,3.38,+1.58
4913,,12,57,04.4,-51,11,55,5.16,-0.06
4914,12Alp1CVn,12,56,00.4,+38,18,53,5.60,+0.34
4915,12Alp2CVn,12,56,01.7,+38,19,06,2.90,-0.12
4916,8    Dra,12,55,28.5,+65,26,19,5.24,+0.28
4917,,12,56,17.6,+54,05,58,5.82,+0.19
4920,36    Com,12,58,55.4,+17,24,34,4.78,+1.56
4921,44    Vir,12,59,39.5,-03,48,43,5.79,+0.18
4923,Del Mus,13,02,16.2,-71,32,56,3.62,+1.18
4924,37    Com,13,00,16.5,+30,47,06,4.90,+1.17
4925,46    Vir,13,00,35.9,-03,22,07,5.99,+1.12
4928,9    Dra,12,59,55.1,+66,35,50,5.32,+1.29
4929,38    Com,13,01,09.6,+17,07,23,5.96,+0.96
4931,78    UMa,13,00,43.8,+56,21,59,4.93,+0.36
4932,47Eps Vir,13,02,10.6,+10,57,33,2.83,+0.94
4933,Xi 1Cen,13,03,33.2,-49,31,38,4.85,+0.02
4935,,13,03,46.1,-20,34,59,5.58,+0.56
4940,,13,06,16.7,-48,27,49,4.71,-0.14
4941,,13,06,35.1,-41,35,19,5.59,+1.05
4942,Xi 2Cen,13,06,54.6,-49,54,22,4.27,-0.19
4943,14    CVn,13,05,44.5,+35,47,56,5.25,-0.08
4944,,13,07,24.2,-59,51,38,5.99,+0.48
4945,,13,05,52.3,+45,16,07,5.63,+1.13
4946,39    Com,13,06,21.2,+21,09,12,5.99,+0.39
4949,40    Com,13,06,22.6,+22,36,58,5.60,+1.59
4951,,13,07,38.3,-53,27,35,5.71,-0.07
4952,The Mus,13,08,07.0,-65,18,23,5.51,-0.02
4954,41    Com,13,07,10.7,+27,37,29,4.80,+1.48
4955,49    Vir,13,07,53.8,-10,44,25,5.19,+1.14
4957,,13,08,32.5,-08,59,04,5.55,+1.18
4958,45Psi Hya,13,09,03.3,-23,07,05,4.95,+1.05
4960,,13,09,12.4,+10,01,20,5.78,+1.00
4961,50    Vir,13,09,45.3,-10,19,46,5.94,+1.49
4962,,13,09,47.8,+16,50,55,5.91,+1.45
4963,51The Vir,13,09,57.0,-05,32,20,4.38,-0.01
4966,,13,11,51.6,-69,56,31,5.91,+0.42
4968,42Alp Com,13,09,59.3,+17,31,46,5.22,+0.45
4969,42Alp Com,13,09,59.3,+17,31,46,5.22,
4970,,13,11,08.8,-42,13,59,5.79,+0.52
4971,17    CVn,13,10,03.2,+38,29,56,5.91,+0.29
4973,,13,11,23.2,-43,22,08,5.25,+1.05
4975,,13,12,17.4,-59,55,15,4.60,-0.08
4976,,13,14,17.2,-78,26,50,5.85,+1.07
4977,,13,12,48.9,-66,13,37,5.90,+0.06
4979,,13,12,03.2,-37,48,11,4.85,+0.70
4981,53    Vir,13,12,03.5,-16,11,55,5.04,+0.46
4983,43Bet Com,13,11,52.4,+27,52,41,4.26,+0.57
4985,,13,13,23.5,-50,42,00,5.89,-0.02
4986,,13,12,32.9,+11,33,22,5.77,+1.51
4988,,13,14,12.1,-58,41,02,5.89,+1.08
4989,,13,14,14.8,-59,06,12,4.92,+0.48
4993,Eta Mus,13,15,14.9,-67,53,40,4.80,-0.08
4995,55    Vir,13,14,10.9,-19,55,51,5.33,+0.87
4996,,13,14,43.1,-48,57,24,5.89,+1.06
4997,,13,13,43.0,+40,09,10,4.92,+1.06
4998,,13,14,31.3,+11,19,54,5.67,+1.50
5001,57    Vir,13,15,58.8,-19,56,35,5.22,+1.03
5002,,13,17,13.0,-66,47,01,4.87,+1.50
5004,19    CVn,13,15,32.0,+40,51,19,5.79,+0.19
5006,,13,16,53.1,-31,30,22,5.10,+0.96
5008,,13,17,13.9,-43,58,46,5.84,+0.20
5011,59    Vir,13,16,46.5,+09,25,27,5.22,+0.59
5013,,13,17,15.6,+13,40,32,5.33,+1.31
5015,60Sig Vir,13,17,36.3,+05,28,11,4.80,+1.67
5017,20    CVn,13,17,32.5,+40,34,21,4.73,+0.30
5019,61    Vir,13,18,24.3,-18,18,41,4.74,+0.71
5020,46Gam Hya,13,18,55.3,-23,10,18,3.00,+0.92
5022,,13,18,27.8,+34,05,53,5.82,+1.35
5023,21    CVn,13,18,14.5,+49,40,55,5.15,-0.07
5026,,13,20,37.8,-52,44,53,5.48,-0.13
5028,Iot Cen,13,20,35.8,-36,42,44,2.75,+0.04
5029,,13,20,57.7,-46,52,50,5.77,+1.12
5032,23    CVn,13,20,19.0,+40,09,02,5.60,+1.20
5035,,13,22,37.9,-60,59,18,4.53,-0.13
5036,,13,22,16.2,-52,10,59,5.83,+0.12
5037,,13,21,41.6,+02,05,14,5.69,+0.06
5040,64    Vir,13,22,09.7,+05,09,17,5.87,+0.12
5041,,13,24,00.5,-64,32,09,4.53,+0.85
5042,Iot1Mus,13,25,07.1,-74,53,16,5.05,+1.11
5044,63    Vir,13,23,01.1,-17,44,07,5.37,+0.99
5047,65    Vir,13,23,18.9,-04,55,28,5.89,+1.43
5048,,13,25,13.9,-64,29,07,5.31,+0.40
5049,,13,25,50.1,-70,37,39,5.67,-0.03
5050,66    Vir,13,24,33.2,-05,09,50,5.75,+0.42
5054,79Zet UMa,13,23,55.5,+54,55,31,2.27,+0.02
5055,79Zet UMa,13,23,56.4,+54,55,18,3.95,+0.13
5056,67Alp Vir,13,25,11.6,-11,09,41,0.98,-0.23
5057,,13,25,06.7,+23,51,16,5.78,+0.06
5058,,13,26,07.8,-39,45,19,5.09,+1.20
5059,,13,26,11.4,-01,11,33,5.97,+0.19
5060,,13,26,56.1,-41,29,53,5.69,+1.47
5062,80    UMa,13,25,13.5,+54,59,17,4.01,+0.16
5064,68    Vir,13,26,43.2,-12,42,28,5.25,+1.52
5067,,13,26,16.6,+46,01,41,5.88,+0.97
5068,69    Vir,13,27,27.2,-15,58,25,4.76,+1.09
5071,,13,29,25.2,-51,09,55,5.06,+0.07
5072,70    Vir,13,28,25.8,+13,46,44,4.98,+0.71
5073,,13,26,08.1,+72,23,29,5.79,+1.63
5080,,13,29,42.8,-23,16,53,4.97,+1.60
5081,71    Vir,13,29,13.0,+10,49,06,5.65,+1.05
5084,Kap Oct,13,40,55.5,-85,47,10,5.58,+0.18
5085,,13,28,27.1,+59,56,45,5.40,-0.01
5089,,13,31,02.7,-39,24,27,3.88,+1.17
5091,,13,26,56.7,+78,38,38,5.77,+0.77
5095,74    Vir,13,31,57.9,-06,15,21,4.69,+1.62
5097,,13,32,35.9,-28,41,34,5.69,+0.04
5099,75    Vir,13,32,51.7,-15,21,47,5.55,+1.23
5100,76    Vir,13,32,58.1,-10,09,54,5.21,+0.96
5105,78    Vir,13,34,07.9,+03,39,32,4.94,+0.03
5106,,13,34,40.5,-13,12,52,5.91,+0.02
5107,79Zet Vir,13,34,41.6,-00,35,45,3.37,+0.11
5109,81    UMa,13,34,07.3,+55,20,55,5.60,-0.03
5110,,13,34,47.8,+37,10,57,4.98,+0.40
5111,80    Vir,13,35,31.3,-05,23,46,5.73,+0.95
5112,24    CVn,13,34,27.3,+49,00,58,4.70,+0.12
5113,,13,37,12.2,-61,41,31,5.63,+0.50
5118,,13,37,06.0,-44,08,36,5.98,+0.94
5120,,13,36,48.4,-26,29,42,5.78,+0.22
5121,,13,37,23.7,-46,25,42,5.90,-0.12
5123,,13,36,59.1,+24,36,48,5.74,+1.55
5127,25    CVn,13,37,27.6,+36,17,42,4.82,+0.23
5128,,13,38,42.0,-29,33,39,5.83,+0.40
5130,,13,40,10.9,-64,34,37,5.79,+0.39
5132,Eps Cen,13,39,53.2,-53,27,59,2.30,-0.22
5136,,13,39,48.6,-40,03,07,5.60,+1.30
5138,,13,39,34.6,+10,44,46,5.57,+0.33
5139,,13,37,11.0,+71,14,32,5.50,+1.20
5140,,13,42,01.1,-58,47,14,5.38,-0.03
5141,,13,41,44.7,-54,33,36,5.01,-0.05
5142,82    UMa,13,39,30.4,+52,55,17,5.46,+0.10
5144,1    Boo,13,40,40.5,+19,57,20,5.75,+0.01
